top - 16:05:58 up 59 min,  2 users,  load average: 3.00, 2.95, 2.35
Tasks:  42 total,   4 running,  38 sleeping,   0 stopped,   0 zombie
Cpu(s):  50.6% user,   4.6% system,   0.0% nice,  44.8% idle
Mem:    257044k total,    64428k used,   192616k free,     9900k buffers
Swap:        0k total,        0k used,        0k free,    41712k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND               
  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND               
  834 u1        20   0   236  236  196 R 51.0  0.1   5:38.79 u1p2                  
  795 u1        20   0   236  236  196 R 29.0  0.1  15:27.39 u1p1                  
  821 u2        14   0   236  236  196 R 20.0  0.1  12:42.12 u2p1                  
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                  
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd               
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0        
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd                
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush               
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.08 kupdated              
   99 root       9   0     0    0    0 S  0.0  0.0   0:01.31 kjournald             
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd                 
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient              
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap               
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd               
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd                 
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4                 
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd                 
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                   
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd                  
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd             
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                   
  723 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron                  
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                  
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  735 root       9   0  2248 2240 1948 S  0.0  0.9   0:05.02 sshd                  
  737 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd                  
  739 root       9   0  1616 1616 1212 S  0.0  0.6   0:00.00 bash                  
  768 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd                  
  770 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  772 root       9   0   972  972  780 S  0.0  0.4   0:00.01 sftp-server           
  773 root       9   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  775 root       8   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  777 u1         9   0  2232 2224 2032 S  0.0  0.9   0:00.02 sshd                  
  778 u1         9   0   972  972  780 S  0.0  0.4   0:00.00 sftp-server           
  779 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.05 sshd                  
  781 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  783 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server           
  837 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                   


top - 16:07:02 up  1:00,  2 users,  load average: 3.00, 2.96, 2.39
Tasks:  42 total,   4 running,  38 sleeping,   0 stopped,   0 zombie
Cpu(s):  79.0% user,  21.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    64816k used,   192228k free,    10012k buffers
Swap:        0k total,        0k used,        0k free,    41960k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND               
  821 u2        20   0   236  236  196 R 37.0  0.1  12:42.49 u2p1                  
  795 u1        20   0   236  236  196 R 31.0  0.1  15:27.70 u1p1                  
  834 u1        19   0   236  236  196 R 29.0  0.1   5:39.08 u1p2                  
   99 root       9   0     0    0    0 S  3.0  0.0   0:01.34 kjournald             
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                  
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd               
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0        
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd                
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush               
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.08 kupdated              
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd                 
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient              
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap               
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd               
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd                 
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4                 
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd                 
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                   
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd                  
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd             
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                   
  723 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron                  
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                  
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  735 root       9   0  2248 2240 1948 S  0.0  0.9   0:05.02 sshd                  
  737 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd                  
  739 root       9   0  1616 1616 1212 S  0.0  0.6   0:00.00 bash                  
  768 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd                  
  770 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  772 root       9   0   972  972  780 S  0.0  0.4   0:00.01 sftp-server           
  773 root       9   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  775 root       8   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  777 u1         9   0  2232 2224 2032 S  0.0  0.9   0:00.02 sshd                  
  778 u1         9   0   972  972  780 S  0.0  0.4   0:00.00 sftp-server           
  779 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.05 sshd                  
  781 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  783 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server           
  837 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                   


top - 16:07:03 up  1:00,  2 users,  load average: 3.00, 2.96, 2.39
Tasks:  42 total,   4 running,  38 sleeping,   0 stopped,   0 zombie
Cpu(s): 100.0% user,   0.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    64820k used,   192224k free,    10012k buffers
Swap:        0k total,        0k used,        0k free,    41964k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND               
  834 u1        20   0   236  236  196 R 37.0  0.1   5:39.45 u1p2                  
  795 u1        17   0   236  236  196 R 33.0  0.1  15:28.03 u1p1                  
  821 u2        14   0   236  236  196 R 30.0  0.1  12:42.79 u2p1                  
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                  
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd               
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0        
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd                
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush               
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.08 kupdated              
   99 root       9   0     0    0    0 S  0.0  0.0   0:01.34 kjournald             
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd                 
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient              
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap               
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd               
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd                 
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4                 
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd                 
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                   
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd                  
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd             
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                   
  723 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron                  
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                  
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  735 root       9   0  2248 2240 1948 S  0.0  0.9   0:05.02 sshd                  
  737 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd                  
  739 root       9   0  1616 1616 1212 S  0.0  0.6   0:00.00 bash                  
  768 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd                  
  770 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  772 root       9   0   972  972  780 S  0.0  0.4   0:00.01 sftp-server           
  773 root       9   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  775 root       8   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  777 u1         9   0  2232 2224 2032 S  0.0  0.9   0:00.02 sshd                  
  778 u1         9   0   972  972  780 S  0.0  0.4   0:00.00 sftp-server           
  779 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.05 sshd                  
  781 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  783 root       9   0   976  976  780 S  0.0  0.4   0:00.00 sftp-server           
  837 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                   


top - 16:07:04 up  1:00,  2 users,  load average: 3.00, 2.96, 2.39
Tasks:  42 total,   4 running,  38 sleeping,   0 stopped,   0 zombie
Cpu(s):  99.0% user,   1.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    64824k used,   192220k free,    10012k buffers
Swap:        0k total,        0k used,        0k free,    41968k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND               
  821 u2        20   0   236  236  196 R 37.0  0.1  12:43.16 u2p1                  
  795 u1        20   0   236  236  196 R 33.0  0.1  15:28.36 u1p1                  
  834 u1        20   0   236  236  196 R 30.0  0.1   5:39.75 u1p2                  
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                  
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd               
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0        
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd                
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush               
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.08 kupdated              
   99 root       9   0     0    0    0 S  0.0  0.0   0:01.34 kjournald             
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd                 
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient              
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap               
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd               
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd                 
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4                 
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd                 
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                   
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd                  
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd             
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                   
  723 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron                  
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                  
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty                 
  735 root       9   0  2248 2240 1948 S  0.0  0.9   0:05.02 sshd                  
  737 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd                  
  739 root       9   0  1616 1616 1212 S  0.0  0.6   0:00.00 bash                  
  768 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.01 sshd                  
  770 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
  772 root       9   0   972  972  780 S  0.0  0.4   0:00.01 sftp-server           
  773 root       9   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  775 root       8   0  2152 2144 1968 S  0.0  0.8   0:00.00 sshd                  
  777 u1         9   0  2232 2224 2032 S  0.0  0.9   0:00.02 sshd                  
  778 u1         9   0   972  972  780 S  0.0  0.4   0:00.00 sftp-server           
  779 root       9   0  2224 2216 1944 S  0.0  0.9   0:00.05 sshd                  
  781 root       8   0  2224 2216 1944 S  0.0  0.9   0:00.00 sshd                  
